name,latex,category,average,error,measurements
BR_B0bar_etaP_D0,{\cal{B}} ( \bar{B}^{0} \to D^{0} \eta^\prime(958) ),Bd/D,0.001376784184348211,0.00012321143824009354,"[{'value': 0.00114, 'error': 0.0002583052642112202}, {'value': 0.00148, 'error': 0.00016340134638368194}]"
BR_B0bar_Ds+_K-_pi+_pi-.BR_Bsbar_Ds+_K-_pi+_pi-,\frac{{\cal{B}} ( \bar{B}^{0} \to D_s^{+} K^{-}  \pi^{+}  \pi^{-} )}{{\cal{B}} ( \bar{B}_s^{0} \to D_s^{+} K^{-}  \pi^{+}  \pi^{-} )},Bd/D,0.54,0.09899494936601219,"[{'value': 0.54, 'error': 0.12124355652982141}]"
BR_B0bar_KS-_DS+,{\cal{B}} ( \bar{B}^{0} \to D^{*}(2010)^{+} K^{*}(892)^{-} ),Bd/D,0.0032,0.0006688049042882386,"[{'value': 0.0032, 'error': 0.0007311634564172364}]"
BR_B0bar_pi-_D+,{\cal{B}} ( \bar{B}^{0} \to D^{+} \pi^{-} ),Bd/D,0.026510149253731546,0.001492158608671627,"[{'value': 0.030299999999999997, 'error': 0.003983716857408418}, {'value': 0.0255, 'error': 0.0023216373532487797}]"
BR_B0bar_K-_pi+_D0,{\cal{B}} ( \bar{B}^{0} \to D^{0} K^{-} \pi^{+} ),Bd/D,0.0008800000000000001,0.000174928556845359,"[{'value': 0.0008800000000000001, 'error': 0.00019672315572906004}]"
BR_B0bar_pbar_pi-_DS+_p,{\cal{B}} ( \bar{B}^{0} \to D^{*}(2010)^{+} p \bar{p} \pi^{-} ),Bd/D,0.00455,0.00042154477816715993,"[{'value': 0.00455, 'error': 0.0005742821606144492}]"
BR_B0bar_Lambda0bar_D0_Lambda0,{\cal{B}} ( \bar{B}^{0} \to D^{0} \Lambda^{0} \bar{\Lambda}^{0} ),Bd/D,0.00010013812050851702,2.8099501151703117e-05,"[{'value': 0.000105, 'error': 5.429502584672082e-05}, {'value': 9.800000000000001e-05, 'error': 3.846231649661071e-05}]"
BR_B0bar_K0bar_DS0,{\cal{B}} ( \bar{B}^{0} \to D^{*}(2007)^{0} \bar{K}^{0} ),Bd/D,0.00036,0.0001236931687685298,"[{'value': 0.00036, 'error': 0.00012727922061357857}]"
BR_B0bar_pbar_DS+_Lambda0,{\cal{B}} ( \bar{B}^{0} \to D^{*+} \Lambda \bar{p} ),Bd/D,0.00025100000000000003,4.3600458713183265e-05,"[{'value': 0.00025100000000000003, 'error': 5.591064299397746e-05}]"
BR_B0bar_f2_D0,{\cal{B}} ( \bar{B}^{0} \to D^{0} f_2(1270) ),Bd/D,0.001489784561940825,0.0001496917133063533,"[{'value': 0.0016100000000000003, 'error': 0.0002584569596664017}, {'value': 0.0012, 'error': 0.0004722287581247038}]"
BR_B0bar_KS-_DSs+,{\cal{B}} ( \bar{B}^{0} \to D_s^{*+} K^{*}(892)^{-} ),Bd/D,0.00032,0.00013614953290603304,"[{'value': 0.00032, 'error': 0.000142007733567087}]"
BR_B0bar_pi-_D1+.BR_D1+_pi-_pi+_D+,{{\cal{B}} ( \bar{B}^{0} \to D_1(2420)^{+} \pi^{-} )\times {\cal{B}} ( D_1(2420)^{+} \to D^{+} \pi^{-} \pi^{+} )},Bd/D,0.0008900000000000002,0.0002857523364717314,"[{'value': 0.0008900000000000001, 'error': 0.0003737961609217508}]"
BR_B0bar_D0_K-_K+,{\cal{B}} ( \bar{B}^{0} \to \bar{D}^{0} K^{-} K^{+} ),Bd/D,0.0006099332390022645,5.000000394370653e-05,"[{'value': 0.00061, 'error': 6.557438524302e-05}]"
BR_B0bar_eta_DS0,{\cal{B}} ( \bar{B}^{0} \to D^{*}(2007)^{0} \eta ),Bd/D,0.0022619679633870174,0.00022009983172818068,"[{'value': 0.0014, 'error': 0.0004621688003316537}, {'value': 0.00269, 'error': 0.00035411862419251544}]"
BR_B0bar_KS-_Ds+,{\cal{B}} ( \bar{B}^{0} \to D_s^{+} K^{*}(892)^{-} ),Bd/D,0.00035,0.00010290994448775623,"[{'value': 0.00035, 'error': 0.00011082251154776297}]"
BR_B0bar_pi-_K0_DS+,{\cal{B}} ( \bar{B}^{0} \to D^{*}(2010)^{+} K^{0} \pi^{-} ),Bd/D,0.003,0.0007605261336732618,"[{'value': 0.003, 'error': 0.000816578226503744}]"
BR_B0bar_pi-_K0_D+,{\cal{B}} ( \bar{B}^{0} \to D^{+} K^{0} \pi^{-} ),Bd/D,0.004900000000000001,0.0008583705493549974,"[{'value': 0.004900000000000001, 'error': 0.000991766101457395}]"
BR_B0bar_pi-_pi-_pi+_DS+,{\cal{B}} ( \bar{B}^{0} \to D^{*}(2010)^{+} \pi^{-} \pi^{+} \pi^{-} ),Bd/D,0.07187234042553191,0.0030394148372983707,"[{'value': 0.0681, 'error': 0.010438869670610895}, {'value': 0.0726, 'error': 0.004563989482897611}]"
BR_B0bar_KS0892bar_D0.BR_KS0892bar_K-_pi+,{{\cal{B}} ( \bar{B}^{0} \to D^{0} \bar{K}^{*}(892)^{0} )\times {\cal{B}} ( \bar{K}^{*}(892)^{0} \to K^{-} \pi^{+} )},Bd/D,0.00038,7.21110255092798e-05,"[{'value': 0.00038, 'error': 8.246211251235322e-05}]"
BR_B0bar_KS-_D+,{\cal{B}} ( \bar{B}^{0} \to D^{+} K^{*}(892)^{-} ),Bd/D,0.0046,0.0007787810988975016,"[{'value': 0.0046, 'error': 0.0009235799911215054}]"
